    1     2.98105001
    2     2.74809957
    3     2.05150151
    4     1.89855790
    5     1.01411939
    6     1.33704448
    7     0.67816901
    8     0.86664259
    9     0.94441533
   10     0.48806393
   11     0.80360579
   12     0.81027317
   13     0.59173417
   14     0.76975352
   15     0.75595331
   16     0.95611584
   17     0.97562706
   18     0.44859904
   19     0.49898919
   20     0.70452708
   21     0.56651723
   22     0.30006680
   23     0.36506766
   24     0.35419750
   25     1.12593317
   26     0.47900817
   27     0.60202801
   28     0.32391536
   29     0.54190844
   30     0.50381953
   31     0.86167359
   32     0.41413635
   33     0.87691951
   34     0.53431457
   35     0.91012037
   36     0.26962823
   37     0.59180558
   38     0.33299279
   39     0.30952257
   40     0.50370085
   41     0.90053964
   42     0.40055546
   43     0.27755374
   44     0.35791826
   45     0.34545141
   46     0.58437026
   47     0.42706054
   48     0.42910293
   49     0.59275150
   50     0.30743736
   51     0.46330577
   52     0.86328483
   53     0.10135952
   54     0.53021449
   55     0.54052740
   56     0.07709703
   57     0.14233035
   58     0.96001440
   59     0.80675292
   60     0.76442194
